Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,LG,박동원,113,0.316,0.416,0.579,185.5,18.6,14.2,0.338,0.29,2,100.0,0.297,0.361,0.554,0.381,0.567,0.667,0.286,0.286,0.286
2025,LG,오스틴,126,0.299,0.397,0.617,184.6,12.7,14.3,0.277,0.18,1,100.0,0.237,0.326,0.461,0.452,0.550,1.000,0.200,0.273,0.300
2025,LG,문보경,134,0.313,0.410,0.482,158.6,20.1,14.2,0.366,0.00,0,,0.276,0.375,0.434,0.389,0.478,0.583,0.333,0.400,0.667
2025,LG,오지환,101,0.276,0.320,0.460,110.6,20.8,6.9,0.318,-0.65,3,60.0,0.306,0.333,0.548,0.200,0.286,0.240,0.556,0.556,1.333
2025,LG,김현수,108,0.311,0.426,0.400,153.7,11.1,14.8,0.351,0.01,0,,0.246,0.388,0.308,0.480,0.536,0.640,0.167,0.375,0.167
2025,LG,박해민,110,0.227,0.349,0.273,88.5,26.4,14.5,0.333,0.57,9,81.8,0.267,0.392,0.333,0.143,0.250,0.143,0.286,0.286,0.429
2025,LG,송찬의,82,0.257,0.321,0.432,112.4,28.0,6.1,0.347,-0.58,1,50.0,0.267,0.365,0.467,0.241,0.241,0.379,0.000,0.111,0.000
2025,LG,최원영,14,0.231,0.214,0.385,41.6,28.6,0.0,0.300,0.41,5,83.3,0.125,0.111,0.250,0.400,0.400,0.600,,,
2025,LG,신민재,99,0.200,0.347,0.213,77.3,9.1,17.2,0.225,-0.63,4,57.1,0.228,0.389,0.246,0.130,0.231,0.130,0.286,0.444,0.286
2025,LG,구본혁,69,0.237,0.318,0.322,84.1,14.5,8.7,0.286,-0.43,0,0.0,0.297,0.366,0.432,0.136,0.240,0.136,0.000,0.333,0.000
2025,LG,홍창기,122,0.229,0.358,0.250,89.3,23.8,12.3,0.314,0.35,2,100.0,0.262,0.400,0.279,0.171,0.275,0.200,0.000,0.286,0.000
2025,LG,이주헌,26,0.143,0.308,0.286,81.3,26.9,11.5,0.154,-0.01,0,,0.063,0.167,0.063,0.400,0.625,1.000,0.000,0.000,0.000
2025,LG,문성주,77,0.261,0.325,0.290,73.8,11.7,9.1,0.295,0.16,1,100.0,0.226,0.300,0.226,0.375,0.412,0.500,0.286,0.250,0.286
2025,LG,문정빈,19,0.125,0.263,0.313,66.4,31.6,5.3,0.111,0.00,0,,0.200,0.429,0.800,0.091,0.167,0.091,,1.000,
2025,LG,이지강,0,,,,,,,,,0,,,,,,,,,,
2025,LG,김영우,0,,,,,,,,,0,,,,,,,,,,
2025,LG,우강훈,0,,,,,,,,,0,,,,,,,,,,
2025,LG,김진성,0,,,,,,,,,0,,,,,,,,,,
2025,LG,박명근,0,,,,,,,,,0,,,,,,,,,,
2025,LG,장현식,0,,,,,,,,,0,,,,,,,,,,
2025,LG,이영빈,9,0.222,0.222,0.222,2.4,33.3,0.0,0.333,0.00,0,,0.222,0.222,0.222,,,,,,
2025,LG,최승민,1,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,LG,함창건,6,0.000,0.000,0.000,-166.7,33.3,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,삼성,이재현,141,0.262,0.429,0.430,146.5,22.7,20.6,0.333,0.15,1,100.0,0.241,0.407,0.361,0.333,0.500,0.667,0.500,0.667,0.500
2025,삼성,김성윤,105,0.376,0.437,0.548,172.4,11.4,8.6,0.418,0.49,8,80.0,0.352,0.425,0.521,0.455,0.478,0.636,0.800,0.833,1.200
2025,삼성,류지혁,108,0.348,0.421,0.391,128.5,16.7,10.2,0.421,-0.20,4,66.7,0.350,0.400,0.388,0.333,0.529,0.417,0.333,0.333,0.333
2025,삼성,디아즈,135,0.317,0.363,0.642,156.8,17.0,7.4,0.308,0.00,0,,0.340,0.383,0.660,0.231,0.286,0.577,0.250,0.333,0.750
2025,삼성,강민호,116,0.298,0.353,0.404,104.4,13.8,7.8,0.337,-0.69,1,33.3,0.268,0.326,0.354,0.409,0.458,0.591,0.286,0.375,0.429
2025,삼성,구자욱,139,0.265,0.362,0.504,126.8,18.0,13.7,0.276,0.01,0,,0.225,0.314,0.483,0.393,0.500,0.571,0.333,0.333,0.333
