Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,LG,임찬규,9,7,1,58.2,1.99,3.62,1.07,18.5,7.3,0.46,0.259,1.93,1.00,0.220,0.269,2.22,1.24,0.231,0.308
2025,LG,치리노스,10,6,1,61.1,2.20,2.39,0.96,25.1,5.4,0.15,0.278,3.60,1.13,0.232,0.295,0.96,0.86,0.188,0.226
2025,LG,송승기,9,4,3,50.2,3.20,3.84,1.18,21.6,8.0,0.89,0.266,3.95,1.21,0.206,0.287,2.49,1.20,0.250,0.289
2025,LG,박명근,21,2,1,19.1,2.79,3.76,1.03,22.8,6.3,0.93,0.250,3.38,1.13,0.220,0.304,1.08,0.72,0.148,0.200
2025,LG,장현식,15,0,1,15.1,1.17,3.40,1.04,23.3,6.7,0.59,0.275,1.29,1.00,0.208,0.269,1.13,1.00,0.207,0.281
2025,LG,김진성,25,1,1,24.0,3.00,3.64,1.08,21.4,11.2,0.38,0.219,0.73,0.73,0.136,0.191,5.91,1.50,0.231,0.348
2025,LG,손주영,9,4,3,45.1,4.57,3.76,1.35,22.9,8.9,0.79,0.325,4.55,1.52,0.264,0.352,4.70,1.11,0.273,0.293
2025,LG,김영우,20,1,1,17.1,2.08,2.76,1.56,29.9,15.6,0.00,0.366,1.86,1.45,0.212,0.341,2.70,1.95,0.296,0.406
2025,LG,백승현,15,1,0,14.1,2.51,4.37,1.88,21.1,19.7,0.00,0.317,1.23,2.18,0.258,0.410,2.57,1.43,0.200,0.333
2025,LG,김강률,12,1,0,12.1,1.46,4.37,1.22,17.6,15.7,0.00,0.212,1.59,1.41,0.222,0.391,1.35,0.90,0.087,0.222
2025,LG,이우찬,15,0,0,13.1,2.03,3.35,1.13,22.8,12.3,0.00,0.229,1.69,1.31,0.190,0.320,2.57,1.00,0.167,0.259
2025,LG,코엔 윈,3,1,0,15.2,4.60,6.05,1.09,10.4,3.0,1.72,0.240,5.14,0.86,0.192,0.300,4.32,1.20,0.290,0.303
2025,LG,배재준,11,0,0,11.2,5.40,4.02,1.29,25.5,11.8,0.77,0.267,4.26,0.63,0.143,0.174,6.75,2.06,0.273,0.429
2025,LG,에르난데스,4,2,2,19.0,5.68,4.99,0.89,29.3,9.3,1.90,0.150,2.89,0.32,0.071,0.129,6.52,1.24,0.200,0.310
2025,LG,우강훈,9,0,0,8.0,4.50,4.30,2.00,13.2,10.5,0.00,0.429,0.00,1.24,0.263,0.364,15.43,3.86,0.500,0.563
2025,LG,이지강,8,1,1,14.2,6.75,6.00,1.57,18.8,12.5,1.84,0.293,4.91,1.64,0.276,0.364,9.45,1.65,0.280,0.379
2025,LG,김주온,1,0,1,0.1,27.00,34.76,6.00,20.0,40.0,0.00,,,,,1.000,27.00,6.00,0.000,0.750
2025,LG,성동현,4,0,0,2.2,16.88,10.05,3.00,12.5,18.8,3.38,0.400,33.75,4.50,0.500,0.600,0.00,1.50,0.200,0.333
2025,LG,김유영,5,0,0,3.1,8.10,2.03,2.10,29.4,11.8,0.00,0.556,5.40,1.80,0.167,0.375,5.40,1.80,0.429,0.429
2025,LG,최채흥,4,0,0,7.2,9.39,5.87,2.35,12.5,12.5,1.17,0.414,12.27,3.55,0.474,0.542,7.36,1.36,0.286,0.333
2025,삼성,후라도,10,3,4,65.2,2.47,3.81,1.13,19.8,6.0,0.82,0.274,3.41,1.07,0.208,0.280,1.82,1.21,0.259,0.296
2025,삼성,원태인,9,3,2,56.0,2.57,3.44,1.00,17.9,3.1,0.64,0.273,3.56,1.02,0.239,0.263,1.46,1.01,0.244,0.278
2025,삼성,백정현,22,2,0,25.2,2.10,2.23,0.78,26.5,5.9,0.00,0.215,2.25,0.92,0.167,0.234,2.13,0.63,0.152,0.204
2025,삼성,김태훈,22,1,1,21.1,2.11,2.42,1.22,23.3,7.0,0.00,0.333,2.13,1.11,0.244,0.286,2.25,1.50,0.273,0.333
2025,삼성,레예스,7,3,3,33.2,4.81,4.28,1.19,17.6,5.6,1.07,0.275,4.50,1.19,0.226,0.279,3.78,1.02,0.233,0.277
2025,삼성,최원태,9,3,2,45.2,5.12,4.06,1.55,21.3,11.6,0.59,0.336,6.33,1.31,0.280,0.326,3.75,1.63,0.247,0.364
2025,삼성,이재희,11,0,2,9.0,3.00,3.14,1.33,23.1,12.8,0.00,0.280,3.60,1.40,0.211,0.318,2.70,1.50,0.231,0.333
2025,삼성,육선엽,7,0,0,8.1,2.16,3.60,0.96,18.2,12.1,0.00,0.174,0.00,1.00,0.125,0.263,5.40,0.90,0.154,0.214
2025,삼성,배찬승,22,0,0,17.2,4.58,5.16,1.75,20.7,14.6,1.02,0.347,4.32,1.44,0.258,0.361,5.40,2.04,0.314,0.415
