date,stadium,home_team,away_team
2025-03-22,잠실,롯데,LG
2025-03-22,문학,두산,SSG
2025-03-22,수원,한화,KT
2025-03-22,대구,키움,삼성
2025-03-22,광주,NC,KIA
2025-03-23,잠실,롯데,LG
2025-03-23,문학,두산,SSG
2025-03-23,수원,한화,KT
2025-03-23,대구,키움,삼성
2025-03-23,광주,NC,KIA
2025-03-25,잠실,한화,LG
2025-03-25,문학,롯데,SSG
2025-03-25,수원,두산,KT
2025-03-25,대구,NC,삼성
2025-03-25,광주,키움,KIA
2025-03-26,잠실,한화,LG
2025-03-26,문학,롯데,SSG
2025-03-26,수원,두산,KT
2025-03-26,대구,NC,삼성
2025-03-26,광주,키움,KIA
2025-03-27,잠실,한화,LG
2025-03-27,문학,롯데,SSG
2025-03-27,수원,두산,KT
2025-03-27,대구,NC,삼성
2025-03-27,광주,키움,KIA
2025-03-28,잠실,삼성,두산
2025-03-28,고척,SSG,키움
2025-03-28,대전,KIA,한화
2025-03-28,사직,KT,롯데
2025-03-28,창원,LG,NC
2025-03-29,잠실,삼성,두산
2025-03-29,고척,SSG,키움
2025-03-29,대전,KIA,한화
2025-03-29,사직,KT,롯데
2025-03-29,창원,LG,NC
2025-03-30,잠실,삼성,두산
2025-03-30,고척,SSG,키움
2025-03-30,대전,KIA,한화
2025-03-30,사직,KT,롯데
2025-03-30,창원,LG,NC
2025-04-01,잠실,키움,두산
2025-04-01,수원,LG,KT
2025-04-01,대전,롯데,한화
2025-04-01,광주,삼성,KIA
2025-04-01,창원,SSG,NC
2025-04-02,잠실,키움,두산
2025-04-02,수원,LG,KT
2025-04-02,대전,롯데,한화
2025-04-02,광주,삼성,KIA
2025-04-02,창원,SSG,NC
2025-04-03,잠실,키움,두산
2025-04-03,수원,LG,KT
2025-04-03,대전,롯데,한화
2025-04-03,광주,삼성,KIA
2025-04-03,창원,SSG,NC
2025-04-04,잠실,KIA,LG
2025-04-04,고척,NC,키움
2025-04-04,문학,KT,SSG
2025-04-04,대구,한화,삼성
2025-04-04,사직,두산,롯데
2025-04-05,잠실,KIA,LG
2025-04-05,고척,NC,키움
2025-04-05,문학,KT,SSG
2025-04-05,대구,한화,삼성
2025-04-05,사직,두산,롯데
2025-04-06,잠실,KIA,LG
2025-04-06,고척,NC,키움
2025-04-06,문학,KT,SSG
2025-04-06,대구,한화,삼성
2025-04-06,사직,두산,롯데
2025-04-08,잠실,한화,두산
2025-04-08,고척,LG,키움
2025-04-08,수원,NC,KT
2025-04-08,대구,SSG,삼성
2025-04-08,사직,KIA,롯데
2025-04-09,잠실,한화,두산
2025-04-09,고척,LG,키움
2025-04-09,수원,NC,KT
2025-04-09,대구,SSG,삼성
2025-04-09,사직,KIA,롯데
2025-04-10,잠실,한화,두산
2025-04-10,고척,LG,키움
